label,A_form,B_form,seed_idx,converged,n_steps,d_BCC,d_axis,v_inf_x,v_inf_y,v_inf_z,final_step_norm
primary,A1_Gstar_powers,B1_pos_sym,0,1,26,7.159792e-01,2.242134e-01,0.1395844821,0.1736548222,0.9748641829,8.789625e-13
primary,A1_Gstar_powers,B1_pos_sym,1,1,26,7.159792e-01,2.242134e-01,-0.1395844821,-0.1736548222,-0.9748641829,5.155676e-13
primary,A1_Gstar_powers,B1_pos_sym,2,1,27,7.159792e-01,2.242134e-01,-0.1395844821,-0.1736548222,-0.9748641829,9.840632e-13
primary,A1_Gstar_powers,B1_pos_sym,3,1,26,7.159792e-01,2.242134e-01,0.1395844821,0.1736548222,0.9748641829,3.536375e-13
primary,A1_Gstar_powers,B1_pos_sym,4,1,26,7.159792e-01,2.242134e-01,0.1395844821,0.1736548222,0.9748641829,8.496876e-13
primary,A1_Gstar_powers,B2_asym_BCC,0,1,27,7.197998e-01,2.191767e-01,0.1431333724,0.1642386998,0.9759807822,4.717426e-13
primary,A1_Gstar_powers,B2_asym_BCC,1,1,27,7.197998e-01,2.191767e-01,-0.1431333724,-0.1642386998,-0.9759807822,6.519552e-13
primary,A1_Gstar_powers,B2_asym_BCC,2,1,29,7.197998e-01,2.191767e-01,0.1431333724,0.1642386998,0.9759807822,5.298538e-13
primary,A1_Gstar_powers,B2_asym_BCC,3,1,27,7.197998e-01,2.191767e-01,0.1431333724,0.1642386998,0.9759807822,5.105213e-13
primary,A1_Gstar_powers,B2_asym_BCC,4,1,28,7.197998e-01,2.191767e-01,0.1431333724,0.1642386998,0.9759807822,3.530798e-13
primary,A1_Gstar_powers,B3_cyclic_antisym,0,1,27,7.276841e-01,2.167862e-01,-0.1142111480,0.1827564067,0.9765018738,9.295357e-13
primary,A1_Gstar_powers,B3_cyclic_antisym,1,1,28,7.276841e-01,2.167862e-01,0.1142111480,-0.1827564067,-0.9765018738,4.068219e-13
primary,A1_Gstar_powers,B3_cyclic_antisym,2,1,30,7.276841e-01,2.167862e-01,-0.1142111480,0.1827564067,0.9765018738,3.531589e-13
primary,A1_Gstar_powers,B3_cyclic_antisym,3,1,27,7.276841e-01,2.167862e-01,-0.1142111480,0.1827564067,0.9765018738,9.155137e-13
primary,A1_Gstar_powers,B3_cyclic_antisym,4,1,28,7.276841e-01,2.167862e-01,-0.1142111480,0.1827564067,0.9765018738,6.655801e-13
primary,A1_Gstar_powers,B4_toeplitz_sign,0,1,27,7.165789e-01,2.226378e-01,0.1451940870,0.1669491355,0.9752162136,9.073161e-13
primary,A1_Gstar_powers,B4_toeplitz_sign,1,1,28,7.165789e-01,2.226378e-01,-0.1451940870,-0.1669491355,-0.9752162136,3.924956e-13
primary,A1_Gstar_powers,B4_toeplitz_sign,2,1,30,7.165789e-01,2.226378e-01,0.1451940870,0.1669491355,0.9752162136,5.074323e-13
primary,A1_Gstar_powers,B4_toeplitz_sign,3,1,27,7.165789e-01,2.226378e-01,0.1451940870,0.1669491355,0.9752162136,8.338532e-13
primary,A1_Gstar_powers,B4_toeplitz_sign,4,1,28,7.165789e-01,2.226378e-01,0.1451940870,0.1669491355,0.9752162136,7.332336e-13
primary,A2_Gstar_varpi_pi,B1_pos_sym,0,1,22,1.424723e-01,7.933580e-01,0.6852915069,0.5342040174,0.4949763816,2.917919e-13
primary,A2_Gstar_varpi_pi,B1_pos_sym,1,1,21,1.424723e-01,7.933580e-01,-0.6852915069,-0.5342040174,-0.4949763816,4.786240e-13
primary,A2_Gstar_varpi_pi,B1_pos_sym,2,1,21,1.424723e-01,7.933580e-01,-0.6852915069,-0.5342040174,-0.4949763816,6.581148e-13
primary,A2_Gstar_varpi_pi,B1_pos_sym,3,1,21,1.424723e-01,7.933580e-01,0.6852915069,0.5342040174,0.4949763816,6.739308e-13
primary,A2_Gstar_varpi_pi,B1_pos_sym,4,1,21,1.424723e-01,7.933580e-01,0.6852915069,0.5342040174,0.4949763816,2.657078e-13
primary,A2_Gstar_varpi_pi,B2_asym_BCC,0,1,88,5.637563e-01,4.408884e-01,0.9028086915,0.1515453404,0.4024555583,7.771159e-13
primary,A2_Gstar_varpi_pi,B2_asym_BCC,1,1,98,5.637563e-01,4.408884e-01,-0.9028086915,-0.1515453404,-0.4024555583,7.536792e-13
primary,A2_Gstar_varpi_pi,B2_asym_BCC,2,1,90,5.637563e-01,4.408884e-01,0.9028086915,0.1515453404,0.4024555583,8.253986e-13
primary,A2_Gstar_varpi_pi,B2_asym_BCC,3,1,97,5.637563e-01,4.408884e-01,-0.9028086915,-0.1515453404,-0.4024555583,8.093694e-13
primary,A2_Gstar_varpi_pi,B2_asym_BCC,4,1,93,5.637563e-01,4.408884e-01,0.9028086915,0.1515453404,0.4024555583,8.020842e-13
primary,A2_Gstar_varpi_pi,B3_cyclic_antisym,0,0,500,5.453507e-01,6.869481e-01,0.0689798488,0.6414573936,-0.7640511715,9.211140e-01
primary,A2_Gstar_varpi_pi,B3_cyclic_antisym,1,0,500,4.453963e-01,7.119855e-01,-0.7465383143,0.6430940708,0.1706181742,6.397223e-01
primary,A2_Gstar_varpi_pi,B3_cyclic_antisym,2,0,500,3.893998e-01,6.143376e-01,-0.5175896396,0.8112946466,-0.2718491520,6.523883e-01
primary,A2_Gstar_varpi_pi,B3_cyclic_antisym,3,0,500,3.737536e-01,6.805706e-01,0.7684118240,-0.5864119530,-0.2562504441,6.730744e-01
primary,A2_Gstar_varpi_pi,B3_cyclic_antisym,4,0,500,5.701296e-01,7.085621e-01,0.6613836252,-0.7489698583,0.0401976576,6.130897e-01
primary,A2_Gstar_varpi_pi,B4_toeplitz_sign,0,0,500,4.397542e-01,5.808686e-01,0.8312958399,0.2250459706,-0.5082337431,6.643387e-01
primary,A2_Gstar_varpi_pi,B4_toeplitz_sign,1,0,500,3.921655e-01,6.278623e-01,0.2590973479,0.8028944662,0.5368696680,1.009507e+00
