x,y,z,count,mu_sq,sigma_sq,freq,in_mask
0,0,0,13,0.048426,0.001536,0.001625,0
0,0,1,101,0.062166,0.003021,0.012625,0
0,0,2,289,0.091766,0.009921,0.036125,0
0,0,3,397,0.122290,0.019492,0.049625,0
0,0,4,445,0.137860,0.023473,0.055625,0
0,0,5,436,0.138682,0.020043,0.054500,0
0,0,6,437,0.132955,0.016173,0.054625,0
0,0,7,427,0.126444,0.016237,0.053375,0
0,0,8,304,0.117628,0.017172,0.038000,0
0,0,9,262,0.102895,0.013810,0.032750,0
0,0,10,247,0.080220,0.007186,0.030875,0
0,0,11,60,0.057187,0.002509,0.007500,0
0,0,12,11,0.047181,0.001441,0.001375,0
0,0,13,72,0.057120,0.002506,0.009000,0
0,0,14,233,0.079213,0.006788,0.029125,0
0,0,15,254,0.102470,0.013396,0.031750,0
0,0,16,287,0.117298,0.016681,0.035875,0
0,0,17,402,0.126010,0.015609,0.050250,0
0,0,18,430,0.132655,0.016067,0.053750,0
0,0,19,433,0.138189,0.019621,0.054125,0
0,0,20,426,0.136780,0.023073,0.053250,0
0,0,21,369,0.120893,0.019319,0.046125,0
0,0,22,288,0.092368,0.009772,0.036000,0
0,0,23,81,0.061738,0.002922,0.010125,0
0,1,0,266,0.092258,0.014223,0.033250,0
0,1,1,248,0.102403,0.017119,0.031000,0
0,1,2,275,0.125801,0.024883,0.034375,0
0,1,3,342,0.147533,0.032084,0.042750,0
0,1,4,413,0.155291,0.031218,0.051625,0
0,1,5,424,0.151688,0.023714,0.053000,0
0,1,6,443,0.143382,0.017408,0.055375,0
0,1,7,466,0.138509,0.017048,0.058250,0
0,1,8,434,0.134239,0.018841,0.054250,0
0,1,9,421,0.124823,0.015524,0.052625,0
0,1,10,483,0.109294,0.010834,0.060375,0
0,1,11,352,0.092707,0.008680,0.044000,0
0,1,12,311,0.085457,0.008667,0.038875,0
0,1,13,339,0.092826,0.008549,0.042375,0
0,1,14,466,0.109338,0.010376,0.058250,0
0,1,15,435,0.124408,0.014921,0.054375,0
0,1,16,428,0.133757,0.017570,0.053500,0
0,1,17,449,0.138004,0.016676,0.056125,0
0,1,18,451,0.143790,0.017774,0.056375,0
0,1,19,428,0.150695,0.023202,0.053500,0
0,1,20,386,0.154664,0.030734,0.048250,0
0,1,21,365,0.146450,0.032214,0.045625,0
0,1,22,277,0.126305,0.025669,0.034625,0
0,1,23,247,0.102059,0.017203,0.030875,0
0,2,0,313,0.129943,0.038171,0.039125,0
0,2,1,299,0.137732,0.041863,0.037375,0
0,2,2,273,0.153999,0.047235,0.034125,0
0,2,3,338,0.165636,0.048161,0.042250,0
0,2,4,384,0.166518,0.037777,0.048000,0
0,2,5,427,0.156988,0.025550,0.053375,0
0,2,6,428,0.147381,0.017900,0.053500,0
0,2,7,455,0.142742,0.017236,0.056875,0
0,2,8,458,0.141597,0.018645,0.057250,0
0,2,9,479,0.137551,0.017043,0.059875,0
0,2,10,521,0.128137,0.016001,0.065125,0
0,2,11,439,0.117885,0.017274,0.054875,0
0,2,12,378,0.112791,0.017651,0.047250,0
0,2,13,414,0.118025,0.016579,0.051750,0
0,2,14,553,0.128109,0.015696,0.069125,0
0,2,15,503,0.137886,0.017508,0.062875,0
0,2,16,467,0.141149,0.018064,0.058375,0
0,2,17,440,0.142956,0.016928,0.055000,0
0,2,18,425,0.147567,0.018258,0.053125,0
0,2,19,427,0.156417,0.025482,0.053375,0
0,2,20,386,0.165307,0.038047,0.048250,0
0,2,21,313,0.165598,0.047663,0.039125,0
0,2,22,257,0.153732,0.047194,0.032125,0
0,2,23,279,0.137123,0.040965,0.034875,0
0,3,0,289,0.095619,0.013295,0.036125,0
0,3,1,291,0.103449,0.015893,0.036375,0
0,3,2,314,0.120145,0.021473,0.039250,0
0,3,3,330,0.133371,0.025324,0.041250,0
0,3,4,365,0.136559,0.022362,0.045625,0
0,3,5,439,0.132395,0.016499,0.054875,0
0,3,6,439,0.126559,0.012617,0.054875,0
0,3,7,410,0.122026,0.012635,0.051250,0
0,3,8,366,0.118109,0.012787,0.045750,0
0,3,9,377,0.109937,0.010879,0.047125,0
0,3,10,415,0.097303,0.007370,0.051875,0
0,3,11,299,0.084541,0.005593,0.037375,0
0,3,12,234,0.078666,0.005106,0.029250,0
0,3,13,260,0.083262,0.005390,0.032500,0
0,3,14,391,0.096873,0.007478,0.048875,0
0,3,15,371,0.109381,0.010831,0.046375,0
0,3,16,384,0.117630,0.012516,0.048000,0
0,3,17,421,0.121168,0.012294,0.052625,0
0,3,18,465,0.124629,0.012361,0.058125,0
0,3,19,419,0.132073,0.016369,0.052375,0
0,3,20,391,0.137007,0.022514,0.048875,0
0,3,21,357,0.132971,0.025597,0.044625,0
0,3,22,298,0.119866,0.022000,0.037250,0
0,3,23,303,0.104397,0.016013,0.037875,0
0,4,0,212,0.072330,0.005194,0.026500,0
0,4,1,246,0.077816,0.005730,0.030750,0
0,4,2,271,0.090422,0.008086,0.033875,0
0,4,3,308,0.102805,0.011218,0.038500,0
0,4,4,317,0.106614,0.011641,0.039625,0
0,4,5,383,0.105447,0.009545,0.047875,0
0,4,6,388,0.103597,0.008510,0.048500,0
0,4,7,318,0.101910,0.008786,0.039750,0
0,4,8,323,0.100129,0.009182,0.040375,0
0,4,9,319,0.093752,0.007959,0.039875,0
0,4,10,253,0.082572,0.005354,0.031625,0
0,4,11,148,0.071622,0.003816,0.018500,0
0,4,12,121,0.066999,0.003365,0.015125,0
0,4,13,141,0.071365,0.003714,0.017625,0
0,4,14,252,0.082317,0.005409,0.031500,0
0,4,15,305,0.092489,0.007745,0.038125,0
0,4,16,303,0.099696,0.008824,0.037875,0
0,4,17,344,0.102461,0.009054,0.043000,0
0,4,18,415,0.104384,0.009045,0.051875,0
0,4,19,379,0.105691,0.009472,0.047375,0
0,4,20,325,0.107211,0.011190,0.040625,0
0,4,21,290,0.103184,0.011178,0.036250,0
0,4,22,286,0.091736,0.008637,0.035750,0
0,4,23,257,0.078593,0.005930,0.032125,0
0,5,0,323,0.085432,0.007823,0.040375,0
0,5,1,323,0.089063,0.008193,0.040375,0
0,5,2,344,0.094958,0.008607,0.043000,0
0,5,3,316,0.098866,0.008518,0.039500,0
0,5,4,313,0.097204,0.007871,0.039125,0
0,5,5,327,0.094028,0.006539,0.040875,0
0,5,6,311,0.092379,0.006506,0.038875,0
0,5,7,315,0.093974,0.007241,0.039375,0
0,5,8,347,0.096530,0.007652,0.043375,0
0,5,9,393,0.096039,0.007694,0.049125,0
0,5,10,391,0.092233,0.006939,0.048875,0
0,5,11,342,0.087683,0.006354,0.042750,0
0,5,12,335,0.084365,0.006206,0.041875,0
0,5,13,352,0.086617,0.006217,0.044000,0
0,5,14,402,0.091701,0.006789,0.050250,0
0,5,15,370,0.096322,0.007555,0.046250,0
0,5,16,345,0.097001,0.007725,0.043125,0
0,5,17,327,0.094352,0.006988,0.040875,0
0,5,18,319,0.093685,0.006513,0.039875,0
0,5,19,343,0.095288,0.007051,0.042875,0
0,5,20,322,0.097968,0.007947,0.040250,0
0,5,21,307,0.099223,0.008805,0.038375,0
0,5,22,310,0.094689,0.008122,0.038750,0
0,5,23,339,0.089076,0.008149,0.042375,0
0,6,0,389,0.089474,0.007931,0.048625,0
0,6,1,389,0.090595,0.007994,0.048625,0
0,6,2,375,0.093570,0.007740,0.046875,0
0,6,3,369,0.095293,0.007458,0.046125,0
0,6,4,354,0.093077,0.006598,0.044250,0
0,6,5,294,0.088885,0.005576,0.036750,0
0,6,6,279,0.086988,0.005594,0.034875,0
0,6,7,283,0.087737,0.005955,0.035375,0
0,6,8,321,0.090816,0.006625,0.040125,0
0,6,9,347,0.093054,0.006805,0.043375,0
0,6,10,363,0.091629,0.006539,0.045375,0
0,6,11,378,0.089207,0.006537,0.047250,0
0,6,12,372,0.086981,0.006434,0.046500,0
0,6,13,366,0.089104,0.006555,0.045750,0
0,6,14,365,0.092089,0.006545,0.045625,0
0,6,15,361,0.092719,0.006646,0.045125,0
0,6,16,315,0.092315,0.006622,0.039375,0
0,6,17,287,0.088684,0.005824,0.035875,0
0,6,18,285,0.087362,0.005647,0.035625,0
0,6,19,288,0.090176,0.005714,0.036000,0
0,6,20,325,0.093690,0.006398,0.040625,0
0,6,21,366,0.095857,0.007397,0.045750,0
0,6,22,372,0.094107,0.007981,0.046500,0
0,6,23,377,0.089922,0.008040,0.047125,0
0,7,0,204,0.073622,0.004864,0.025500,0
0,7,1,213,0.075530,0.005039,0.026625,0
0,7,2,250,0.080535,0.005312,0.031250,0
0,7,3,279,0.083874,0.005498,0.034875,0
0,7,4,271,0.083884,0.005168,0.033875,0
0,7,5,225,0.081371,0.004591,0.028125,0
0,7,6,192,0.080359,0.004506,0.024000,0
0,7,7,216,0.079067,0.004595,0.027000,0
0,7,8,235,0.080203,0.005007,0.029375,0
0,7,9,258,0.081050,0.005276,0.032250,0
0,7,10,229,0.079361,0.004924,0.028625,0
0,7,11,216,0.075432,0.004486,0.027000,0
0,7,12,208,0.073832,0.004502,0.026000,0
0,7,13,223,0.075797,0.004591,0.027875,0
0,7,14,243,0.078887,0.004979,0.030375,0
0,7,15,244,0.081133,0.005086,0.030500,0
0,7,16,242,0.080538,0.005078,0.030250,0
0,7,17,211,0.079275,0.004809,0.026375,0
0,7,18,196,0.079728,0.004468,0.024500,0
0,7,19,216,0.081993,0.004663,0.027000,0
0,7,20,249,0.084368,0.005085,0.031125,0
0,7,21,279,0.084725,0.005299,0.034875,0
0,7,22,216,0.080140,0.004988,0.027000,0
0,7,23,242,0.075272,0.004945,0.030250,0
0,8,0,148,0.068510,0.003917,0.018500,0
0,8,1,165,0.070240,0.004051,0.020625,0
0,8,2,190,0.076040,0.004439,0.023750,0
0,8,3,225,0.079335,0.004619,0.028125,0
0,8,4,229,0.079347,0.004633,0.028625,0
0,8,5,171,0.074858,0.004060,0.021375,0
0,8,6,131,0.071598,0.003485,0.016375,0
0,8,7,134,0.070423,0.003550,0.016750,0
0,8,8,150,0.071346,0.003820,0.018750,0
0,8,9,167,0.071739,0.004069,0.020875,0
0,8,10,170,0.070595,0.004063,0.021250,0
0,8,11,132,0.066977,0.003630,0.016500,0
0,8,12,134,0.065916,0.003736,0.016750,0
0,8,13,135,0.066626,0.003653,0.016875,0
0,8,14,161,0.069843,0.003923,0.020125,0
0,8,15,185,0.072474,0.004214,0.023125,0
0,8,16,173,0.071973,0.003904,0.021625,0
0,8,17,143,0.071126,0.003656,0.017875,0
0,8,18,152,0.072266,0.003733,0.019000,0
0,8,19,156,0.075972,0.004035,0.019500,0
