scheme,N,mass,q,spin_structure,Zt,Zs,Zs_minus_Zt,ZE,ZB,ZB_minus_ZE,delta_match,ward_t,ward_s
qedl_step,64,0,0.0981747704246810,antiperiodic-all,0.109409842674354,-0.202840268498781,-0.312250111173135,0.136124350997496,0.165290266445561,0.0291659154480642,-0.326833068897167,7.924e-15,-3.268e-17
qedl_step,80,0,0.0785398163397448,antiperiodic-all,0.116870517338355,-0.195381967482766,-0.312252484821121,0.146071717822435,0.175323660604315,0.0292519427818800,-0.326878456212061,-7.934e-16,-2.430e-17
qedl_step,96,0,0.0654498469497874,antiperiodic-all,0.122970868978600,-0.189282924114467,-0.312253793093066,0.154205152133672,0.183505815575818,0.0293006634421453,-0.326904124814139,4.935e-16,-6.307e-17
qedl_step,128,0,0.0490873852123405,antiperiodic-all,0.132601772076881,-0.179653334723341,-0.312255106800222,0.167045678535991,0.196396964825415,0.0293512862894240,-0.326930749944934,-4.589e-17,-2.762e-17
qedl_step,160,0,0.0392699081698724,antiperiodic-all,0.140074889451321,-0.172180829685759,-0.312255719137080,0.177009345571999,0.206385221822045,0.0293758762500466,-0.326943657262103,5.732e-17,-2.608e-17
qedl_step,192,0,0.0327249234748937,antiperiodic-all,0.146182010098301,-0.166074042788906,-0.312256052887207,0.185151829135856,0.214541558543899,0.0293897294080428,-0.326950917591228,-9.963e-17,-5.446e-17
qedl_step,256,0,0.0245436926061703,antiperiodic-all,0.155819650901785,-0.156436734618213,-0.312256385519999,0.198001587188385,0.227405635032421,0.0294040478440360,-0.326958409442017,-2.379e-17,-1.926e-17
qedl_step,320,0,0.0196349540849362,antiperiodic-all,0.163295889324937,-0.148960650418480,-0.312256539743417,0.207969658827862,0.237380623683585,0.0294109648557227,-0.326962022171279,3.565e-19,-2.711e-17
mass_witness,96,0.4,0.05,antiperiodic-all,-0.0388050943611371,-0.293327878109348,-0.254522783748211,0.0150213653192111,0.0175623802491007,0.00254101492988963,-0.255793291213156,-3.351e-16,-5.865e-17
mass_witness,128,0.2,0.025,antiperiodic-all,-0.0192038294574988,-0.277427594750877,-0.258223765293379,0.0349212180154219,0.0404242052396247,0.00550298722420275,-0.260975258905480,-2.035e-14,-2.665e-17
mass_witness,256,0.1,0.0125,antiperiodic-all,0.00604429240387376,-0.252249113969334,-0.258293406373208,0.0650037903450601,0.0738154929108856,0.00881170256582554,-0.262699257656121,-2.854e-15,-1.995e-17
mass_witness,320,0.05,0.00625,antiperiodic-all,0.0335262032490238,-0.222602087660660,-0.256128290909683,0.101497596884228,0.113102016819406,0.0116044199351776,-0.261930500877272,2.165e-10,-2.618e-17
mass_witness,384,0.025,0.003125,antiperiodic-all,0.0611717948978055,-0.192640563362925,-0.253812358260731,0.139735489347161,0.153335559438178,0.0136000700910175,-0.260612393306240,6.289e-08,9.623e-16
